,age,New_Review_Helpfulness,New_Recommendation_Helpfulness,New_Personalized_Recommendation_Frequency,New_Cart_Completion_Frequency,New_Add_to_Cart_Browsing,age_group
194,23,2,1,2,3,0,2
195,23,2,0,1,1,0,2
196,23,2,0,2,2,1,2
197,21,2,0,2,2,1,2
198,23,2,1,2,3,1,2
199,26,0,0,2,2,2,3
200,30,1,1,2,2,1,3
201,37,2,1,1,2,2,3
202,26,2,2,2,2,2,3
203,46,1,2,1,4,2,4
204,36,1,2,0,0,0,3
205,40,2,2,1,2,2,3
206,41,2,2,1,4,2,4
207,34,1,0,0,2,1,3
208,29,2,0,0,3,1,3
209,35,2,2,1,2,2,3
210,32,2,2,0,2,1,3
211,41,2,2,1,3,2,4
212,35,2,2,2,2,2,3
213,36,1,2,2,2,2,3
214,46,2,1,0,3,2,4
215,39,0,1,1,2,2,3
216,48,2,2,2,3,2,4
217,25,2,2,0,2,0,2
218,38,2,1,2,1,2,3
219,26,1,2,2,2,1,3
220,40,1,0,0,2,2,3
221,49,2,2,1,2,2,4
222,30,2,2,2,2,2,3
223,24,2,1,0,1,1,2
224,23,2,2,2,2,2,2
225,27,2,2,1,2,2,3
226,28,2,2,0,2,1,3
227,23,1,1,0,1,2,2
228,46,2,2,2,4,2,4
229,27,1,1,1,1,1,3
230,20,2,1,0,2,2,2
231,23,2,2,0,1,2,2
232,29,2,1,2,3,2,3
233,29,2,2,2,2,1,3
234,57,2,2,0,3,2,4
235,25,2,2,0,2,2,2
236,23,2,1,0,2,2,2
237,15,1,1,0,2,2,1
238,39,2,1,2,3,2,3
239,23,2,1,0,2,2,2
240,25,2,2,0,2,2,2
241,37,2,1,1,4,2,3
242,23,0,0,0,2,1,2
243,23,1,0,0,2,0,2
244,23,0,0,1,2,1,2
245,23,1,0,0,3,0,2
246,21,0,0,0,2,1,2
247,21,0,2,0,2,0,2
248,34,0,0,0,2,0,3
249,23,0,0,0,2,0,2
250,23,1,0,0,2,0,2
251,23,0,0,0,2,0,2
252,27,1,0,0,2,0,3
253,23,1,1,0,2,1,2
254,47,2,1,0,1,1,4
255,54,2,2,0,3,2,4
256,46,0,0,0,1,1,4
257,38,2,0,0,2,0,3
258,45,0,0,1,2,1,4
259,34,0,0,2,1,0,3
260,44,0,1,1,2,1,4
261,23,0,0,1,4,0,2
262,32,0,0,2,3,0,3
263,23,2,0,2,4,2,2
264,23,0,0,0,4,1,2
265,23,2,2,0,4,2,2
266,19,2,2,0,3,2,2
267,23,2,0,0,2,2,2
268,23,0,2,0,2,0,2
269,34,0,0,2,2,0,3
270,34,1,0,0,2,0,3
271,34,1,0,0,3,2,3
272,23,0,2,0,3,0,2
273,45,0,1,1,4,1,4
274,23,1,0,2,4,0,2
275,34,0,1,0,2,0,3
276,37,0,0,0,4,2,3
277,34,0,0,0,2,0,3
278,23,1,1,1,2,1,2
279,45,0,0,0,2,0,4
280,26,2,2,2,1,2,3
281,34,0,0,0,3,0,3
282,21,0,0,2,1,0,2
